"cx","paired","gtex","sra_stemcells","sra_adult","sra_embryo_ectoderm","sra_embryo_embryo","sra_embryo_lateembryo","sra_embryo_mesenchyme","sra_embryo_myoblast","sra_neonate_fetal","sra_zygote","sra_oocyte","sra_placenta","developmental","unexplained","other","all"
"Acute_Myeloid_Leukemia","1138026","607335","5563","142968","4708","57424","0","0","3513","34751","3034","1187","1393","56471","492173","660824","2406185"
"Adrenocortical_Carcinoma","0","941404","537","5783","108","1590","0","0","122","345","187","58","237","1402","25652","32508","973912"
"Bladder_Urothelial_Carcinoma","665025","1736724","6043","43175","1054","13768","0","0","753","2818","1839","538","1636","12627","180951","234154","2635903"
"Brain_Lower_Grade_Glioma","2243138","604188","4378","45919","689","11034","0","0","755","2916","1510","376","621","10713","197215","251439","3098765"
"Breast_Invasive_Carcinoma","1937478","2075580","12008","125481","2707","30508","0","0","1964","7987","3878","1131","2779","28649","514949","661956","4675014"
"Cervical_Squamous_Cell_Carcinoma_and_Endocervical_Adenocarcinoma","260438","1888245","4378","32134","808","9252","0","0","546","2114","1140","377","814","8770","131708","170893","2319576"
"Cholangiocarcinoma","559054","195112","324","2880","56","638","0","0","44","153","85","24","75","592","9889","13232","767398"
"Colon_Adenocarcinoma","1447419","781411","5119","48862","1257","18431","0","0","847","3320","1377","364","1574","17177","182623","242637","2471467"
"Esophageal_Carcinoma","2298165","1640989","17948","260087","8712","104815","0","0","7205","47447","9394","3187","4511","102063","1193014","1512811","5451965"
"Glioblastoma_Multiforme","1930725","437838","3126","24991","506","7427","0","0","567","1876","1001","300","516","7124","93286","124048","2492611"
"Head_and_Neck_Squamous_Cell_Carcinoma","1892407","679460","7434","50587","1116","13598","0","0","948","3337","2004","631","1187","13077","210202","271730","2843597"
"Kidney_Chromophobe","664804","377397","774","7865","102","2041","0","0","108","445","454","109","266","1865","33840","43212","1085413"
"Kidney_Renal_Clear_Cell_Carcinoma","1209558","1715900","5025","70215","1209","15020","0","0","1002","4226","1706","477","1396","14105","235503","315355","3240813"
"Kidney_Renal_Papillary_Cell_Carcinoma","900875","995796","1942","24534","401","5483","0","0","333","1473","790","236","462","5191","99595","127912","2024583"
"Liver_Hepatocellular_Carcinoma","1020442","869537","2755","35855","587","6851","0","0","436","1381","1150","349","713","6355","104864","145385","2035364"
"Lung_Adenocarcinoma","1798625","1091992","7371","71055","1783","18549","0","0","1166","4740","2412","699","1734","17355","268524","352005","3242622"
"Lung_Squamous_Cell_Carcinoma","1824999","1193233","9785","67496","1419","20687","0","0","1132","4147","3301","1011","1858","19459","252917","336383","3354615"
"Lymphoid_Neoplasm_Diffuse_Large_B_cell_Lymphoma","0","793306","499","8261","105","1653","0","0","88","404","299","98","171","1530","18871","28060","821366"
"Mesothelioma","924812","225835","1015","8254","186","2299","0","0","179","560","309","99","241","2155","32234","42134","1192781"
"Ovarian_Serous_Cystadenocarcinoma","1319722","3772936","25499","384721","14917","170100","0","0","8477","69320","19858","7484","5897","166307","3044437","3543632","8636290"
"Pancreatic_Adenocarcinoma","925750","668029","1464","14903","268","3378","0","0","272","845","421","111","293","3207","58659","76056","1669835"
"Pheochromocytoma_and_Paraganglioma","1026227","453856","1195","13370","226","3693","0","0","270","802","572","162","359","3436","63165","79220","1559303"
"Prostate_Adenocarcinoma","1307557","1115552","3524","40250","769","9912","0","0","607","2761","1460","370","739","9416","184816","232058","2655167"
"Rectum_Adenocarcinoma","1036414","345208","1772","16310","348","6370","0","0","324","1043","553","162","535","5961","51574","71635","1453257"
"Sarcoma","1175064","810760","2679","22956","445","6875","0","0","694","1638","953","320","665","6534","92982","121065","2106889"
"Skin_Cutaneous_Melanoma","1784018","709033","5051","45282","907","11872","0","0","892","2939","1846","553","1020","11384","176339","230316","2723367"
"Stomach_Adenocarcinoma","1972253","2872142","22542","364913","12434","141891","0","0","8754","59828","14274","4868","6108","137950","2020588","2470823","7315218"
"Testicular_Germ_Cell_Tumors","1237998","389331","8814","20355","369","10655","0","0","502","1386","2716","960","891","9990","61194","91528","1718857"
"Thymoma","292715","1071739","1845","15271","273","4099","0","0","244","877","645","184","284","3910","47915","66037","1430491"
"Thyroid_Carcinoma","1689929","811366","3196","39290","573","8666","0","0","570","2531","1119","294","781","8160","172619","218199","2719494"
"Uterine_Carcinosarcoma","644516","348498","1043","5918","143","2435","0","0","224","417","410","154","249","2274","26470","34270","1027284"
"Uterine_Corpus_Endometrial_Carcinoma","1115022","1384319","5723","53045","1373","17794","0","0","1087","4068","1966","583","1814","16460","185416","249707","2749048"
"Uveal_Melanoma","0","849072","473","5092","101","1195","0","0","84","383","138","50","97","1187","19625","25580","874652"
